StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,1,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,2,W,K2*,"P1, K3",*,"P1, K2"
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,3,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,4,W,P3*,"K3, P5",*,"K3, P3"
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,5,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,6,W,P3*,"K3, P5",*,"K3, P3"
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,7,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,8,W,P3*,"K3, P5",*,"K3, P3"
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,9,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,10,W,K2*,"P1, K3",*,"P1, K2"
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,11,R,*,Knit,*,
1002,Garter Columns,Multiple of 8 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1002,12,W,K2*,"P5, K3",*,"P5, K2"
