StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,1,R,*,Knit,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,2,W,*,Purl,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,3,R,*,Knit,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,4,W,*,Purl,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,5,R,K3*,"(make flower), K5",*,"(make flower), K4"
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,6,W,*,Purl,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,7,R,*,Knit,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,8,W,*,Purl,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,9,R,*,Knit,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,10,W,*,Purl,*,
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,11,R,K7*,"(make flower), K5",*,"(make flower), K8"
1003,Flowered Meadow,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1003,12,W,*,Purl,*,
