StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,1,R,K3*,"P6, K3",*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,2,W,*,Knit the knit stitches and purl the purl stitches,*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,3,R,K3*,"P6, K3",*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,4,W,*,Knit the knit stitches and purl the purl stitches,*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,5,R,K3*,"P6, K3",*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,6,W,*,Knit the knit stitches and purl the purl stitches,*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,7,R,P3*,"K6, P3",*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,8,W,*,Knit the knit stitches and purl the purl stitches,*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,9,R,P3*,"K6, P3",*
1020,Woven Squares,Multiple of 9 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1020,10,W,*,Knit the knit stitches and purl the purl stitches,*
