StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Color,Begin Row,Repeat,Repeat From *,End Row
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,1,R,B,k2*,"sl 1 wyib, k1, (k1, yo, k1, yo, k1) in next stitch, k1",*,"sl 1 wyib, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,2,W,B,k2*,"sl 1 wyif, k1, p5 wrapping yarn twice for each stitch, k1",*,"sl 1 wyif, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,3,R,A,k4*,"sl 5 wyib dropping extra wraps, k3",*,k1
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,4,W,A,k4*,"sl 5 wyif, k3",*,k1
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,5,R,A,k3*,"k2 tog, sl 3 wyib, ssk, k1",*,k2
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,6,W,A,k3*,"p1, sl 3 wyif, p1, k1",*,k2
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,7,R,A,k3*,"k2 tog, sl 1 wyib, ssk, k1",*,k2
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,8,W,A,k3*,"p1, sl 1 wyif, p1, k1",*,k2
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,9,R,A,k4*,"k1-b, k3",*,k1
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,10,W,A,k4*,"p1-b, k3",*,k1
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,11,R,C,k2*,"(k1, yo, k1, yo, k1) in next stitch, k1, sl 1 wyib, k1",*,"(k1, yo, k1, yo, k1) in next stitch, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,12,W,C,k2*,"p5 wrapping yarn twice for each stitch, k1, sl 1 wyif, k1",*,"p5 wrapping yarn twice for each stitch, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,13,R,A,k2*,"sl 5 wyib dropping extra wraps, k3",*,"sl 5 wyib dropping extra wraps, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,14,W,A,k2*,"sl 5 wyif, k3",*,"sl 5 wyif, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,15,R,A,k1*,"k2 tog, sl 3 wyib, ssk, k1",*,
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,16,W,A,k1*,"p1, sl 3 wyif, p1, k1",*,
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,17,R,A,k1*,"k2 tog, sl 1 wyib, ssk, k1",*,
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,18,W,A,k1*,"p1, sl 1 wyif, p1, k1",*,
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,19,R,A,k2*,"k1-b, k3",*,"k1-b, k2"
1030,Fireflowers 1,Multiple of 4 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1030,20,W,A,k2*,"p1-b, k3",*,"p1-b, k2"
