StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,1,R,K1*,"P1, K1",*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,2,W,K1*,"P1, K1",*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,3,R,*,knit,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,4,W,*,purl,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,5,R,K1*,"k7, p1, k1, p1, k2",*,k6
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,6,W,p6*,"(p1, k1) 3 times, p6",*,p1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,7,R,k1*,"k5, (p1, k1) 3 times, p1",*,k6
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,8,W,p6*,"(p1, k1) 3 times, p6",*,p1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,9,R,k1*,"k5, (p1, k1) 3 times, p1",*,k6
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,10,W,P6*,"(p1, k1) 3 times, p6",*,p1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,11,R,k1*,"k7, p1, k1, p1, k2",*,k6
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,12,W,*,purl,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,13,R,*,knit,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,14,W,k1*,"p1, k1",*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,15,R,k1*,"p1, k1",*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,16,W,*,purl,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,17,R,*,knit,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,18,W,"p2, (k1, p1) twice*","p8, (k1, p1) twice",*,p1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,19,R,K1*,"(p1, k1) twice, p1, k7",*,"(p1, k1) 3 times"
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,20,W,"(k1, p1) 3 times*","k1, p5, (k1, p1) 3 times",*,k1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,21,R,k1*,"(p1, k1) twice, p1, k7",*,"(p1, k1) 3 times"
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,22,W,"(k1, p1) 3 times*","k1, p5, (k1, p1) 3 times",*,k1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,23,R,k1*,"(p1, k1) twice, p1, k7",*,"(p1, k1) 3 times"
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,24,W,"p2, (k1, p1) twice*","p8, (k1, p1) twice",*,p1
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,25,R,*,knit,*,
1041,Creative Stamps,Multiple of 12 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1041,26,W,*,purl,*,
