StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,1,R,"p1, k1, p2, k1, p1, k1, p2, k1, p1"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,2,W,"K1, p1, k2, p1, k1, p1, k2, p1, k1"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,3,R,"p1, k1, p2, k1, p1, k1, p2, k1, p1"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,4,W,"K1, p1, k2, p1, k1, p1, k2, p1, k1"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,5,R,"K2, p2, k3, p2, k2"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,6,W,"P1, (k4, p1) twice"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,7,R,"K1, (p4, k1) twice"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,8,W,"P1, (k4, p1) twice"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,9,R,"K2, p2, k3, p2, k2"
1050,Triple Chains,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1050,10,W,"K1, p1, k2, p1, k1, p1, k2, p1, k1"
