StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,1,R,"p5, k1-b, p5"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,2,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,3,R,"P4, (k1-b) 3 times, p4"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,4,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,5,R,"p3, (k1-b) 5 times, p3"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,6,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,7,R,"p2, (k1-b) 3 times, p1, (k1-b) 3 times, p2"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,8,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,9,R,"P1, (k1-b) 3 times, p3, (k1-b)3 times p1"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,10,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,11,R,"p2, (k1-b) 3 times, p1, (k1-b) 3 times, p2"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,12,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,13,R,"p3, (k1-b) 5 times, p3"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,14,W,Knit the knit stitches and p-b the purl stitches
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,15,R,"P4, (k1-b) 3 times, p4"
1056,Flat Diamonds 2,Multiple of 11 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1056,16,W,Knit the knit stitches and p-b the purl stitches
