StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,1,R,k2*,"MK, k6, MK, k2",*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,2,W,*,purl,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,3,R,k2*,"MK twice, k2",*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,4,W,*,purl,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,5,R,*,"k2, MK 5 times,",*,k2
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,6,W,*,purl,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,7,R,k2*,"MK twice, k2",*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,8,W,*,purl,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,9,R,k2*,"MK, k6, MK, k2",*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,10,W,*,purl,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,11,R,*,knit,*,
1060,Knotted Butterflies,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1060,12,W,*,purl,*,
