StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,1,R,*,knit,*,
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,2,W,*,"k4, p4",*,
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,3,R,k3*,"p4, k4",*,"p4, k1"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,4,W,p2*,"k4, p4",*,"k4, p2"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,5,R,k1*,"p4, k4",*,"p4, k3"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,6,W,*,purl,*,
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,7,R,*,knit,*,
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,8,W,p3*,"k4, p4",*,"k4, p1"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,9,R,k2*,"p4, k4",*,"p4, k2"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,10,W,p1*,"k4, p4",*,"k4, p3"
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,11,R,*,"k4, p4",*,
1067,Mirrored Bars,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1067,12,W,*,purl,*,
