StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,1,R,k2*,"p6, k6",*,"p6, k4"
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,3,R,*,"p2, k6, p2, k2",*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,5,R,*,"p2, k6, p2, k2",*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,7,R,*,"p2, k6, p2, k2",*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,9,R,*,"p2, k6, p2, k2",*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,11,R,k2*,"p6, k6",*,"p6, k4"
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,13,R,*,knit,*,
1068,Squares and Rectangles,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1068,14,W,*,Knit the knit stitches and purl the purl stitches,*,
