StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,1,R,k3*,"p2, k8",*,"p2, k5"
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,3,R,k3*,"p2, k8",*,"p2, k5"
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,5,R,*,"k3, p7",*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,7,R,*,"k3, p7",*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,9,R,*,"p7, k3",*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,11,R,*,"p7, k3",*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,13,R,k5*,"p2, k8",*,"p2, k3"
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,15,R,k5*,"p2, k8",*,"p2, k3"
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,17,R,*,knit,*,
1070,Four Corners,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1070,18,W,*,Knit the knit stitches and purl the purl stitches,*,
