StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,1,R,*,"k4, p2",*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,3,R,*,"k3, p3",*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,5,R,*,"k2, p4",*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,7,R,k1*,"p4, k2",*,k1
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,9,R,k1*,"p3, k3",*,k2
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,11,R,k1*,"p2, k4",*,k3
1087,Foliage 1,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1087,12,W,*,Knit the knit stitches and purl the purl stitches,*,
