StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,1,R,*,"p4, k9",*,p4
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,2,W,k4*,"k2, p5, k6",*,
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,3,R,*,"p7, k3, p3",*,p4
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,4,W,k4*,"k4, p1, k8",*,
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,5,R,*,"k4, p9",*,k4
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,6,W,p4*,"p2, k5, p6",*,
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,7,R,*,"k7, p3, k3",*,k4
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,8,W,p4*,"p4, k1, p8",*,
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,9,R,*,knit,*,
1088,Easy Scallops,Multiple of 13 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1088,10,W,*,purl,*,
