StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,1,R,*,purl,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,2,W,*,knit,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,3,R,*,purl,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,4,W,*,knit,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,5,R,p2*,"k5, slip 5 wyib",*,"k5, p2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,6,W,k2*,"p5, slip 5 wyif",*,"p5, k2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,7,R,p2*,"k5, slip 5 wyib",*,"k5, p2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,8,W,k2*,"p5, slip 5 wyif",*,"p5, k2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,9,R,*,purl,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,10,W,*,knit,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,11,R,*,purl,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,12,W,*,knit,*,
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,13,R,p2*,"slip 5 wyib, k5",*,"slip 5 wyib, p2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,14,W,k2*,"slip 5 wyif, p5",*,"slip 5 wyif, k2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,15,R,p2*,"slip 5 wyib, k5",*,"slip 5 wyib, p2"
1090,Buttons,Multiple of 10 stitches,plus 9 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1090,16,W,k2*,"slip 5 wyif, p5",*,"slip 5 wyif, k2"
