StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,1,R,k1*,"p4, k1",*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,3,R,k1*,"p3, k3, p3, k1",*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,5,R,k1*,"p2, k5, p2, k1",*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,7,R,k1*,"p1, k7, p1, k1",*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,9,R,k2*,"p3, k1, p3, k3",*,"p3, k1, p3, k2"
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,11,R,k3*,"p2, k1, p2, k5",*,"p2, k1, p2, k3"
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,13,R,k4*,"p1, k1, p1, k7",*,"p1, k1, p1, k4"
1093,Spades,Multiple of 10 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1093,14,W,*,Knit the knit stitches and purl the purl stitches,*,
