StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,1,R,"k1, p1, k1 *","k2, p2, k2, (p1, k1) 3 times",*,"k2, p2, k2, p1, k1, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,2,W,"p1, k1, p3, k2, p2*","(k1, p1) 3 times, p2, k2, p2",*,"k1, p1, k1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,3,R,"k1, p1, k1 *","k2, p2, k2, (p1, k1) 3 times",*,"k2, p2, k2, p1, k1, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,4,W,"p1, k1, p3, k2, p2*","(k1, p1) 3 times, p2, k2, p2",*,"k1, p1, k1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,5,R,"k1, p1, k1 *","k2, p2, k2, (p1, k1) 3 times",*,"k2, p2, k2, p1, k1, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,6,W,"p1, k1, p3, k2, p2*","(k1, p1) 3 times, p2, k2, p2",*,"k1, p1, k1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,7,R,"k1, p1, k1 *","k2, p2, k2, (p1, k1) 3 times",*,"k2, p2, k2, p1, k1, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,8,W,"p1, k1, p3, k2, p2*","(k1, p1) 3 times, p2, k2, p2",*,"k1, p1, k1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,9,R,"k1, p1, k1 *","k2, p2, k2, (p1, k1) 3 times",*,"k2, p2, k2, p1, k1, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,10,W,"p1, k1, p3, k2, p2*","(k1, p1) 3 times, p2, k2, p2",*,"k1, p1, k1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,11,R,p1*,"k2, (p1, k1) 3 times, k2, p2",*,"k2, (p1, k1) 3 times, k2, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,12,W,"k1, p2, (k1, p1) 3 times, p2*","k2, p2, (k1, p1) 3 times, p2",*,p1
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,13,R,p1*,"k2, (p1, k1) 3 times, k2, p2",*,"k2, (p1, k1) 3 times, k2, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,14,W,"k1, p2, (k1, p1) 3 times, p2 *","k2, p2, (k1, p1) 3 times, p2",*,p1
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,15,R,p1*,"k2, (p1, k1) 3 times, k2, p2",*,"k2, (p1, k1) 3 times, k2, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,16,W,"k1, p2, (k1, p1) 3 times, p2 *","k2, p2, (k1, p1) 3 times, p2",*,p1
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,17,R,p1*,"k2, (p1, k1) 3 times, k2, p2",*,"k2, (p1, k1) 3 times, k2, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,18,W,"k1, p2, (k1, p1) 3 times, p2 *","k2, p2, (k1, p1) 3 times, p2",*,p1
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,19,R,p1*,"k2, (p1, k1) 3 times, k2, p2",*,"k2, (p1, k1) 3 times, k2, p1"
1096,Cableway,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1096,20,W,"k1, p2, (k1, p1) 3 times, p2 *","k2, p2, (k1, p1) 3 times, p2",*,p1
