StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,1,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,3,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,5,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,7,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,9,R,p2*,"slip 4 stitches to dpn and hold in front of work, knit next 4 stitches, knit 4 stitches from dpn",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,11,R,p2*,k8,*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,13,R,p2*,k8,*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,15,R,p2*,"slip 4 stitches to dpn and hold in front of work, knit next 3 sttiches, p1, then (p1, k3) from the dpn",*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,17,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,19,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,20,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,21,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,22,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,23,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,24,W,*,Knit the knit stitches and purl the purl stitches,*,
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,25,R,p2*,"k3, p2, k3",*,p2
1099,Big Cable Little Cable,Multiple of 8 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1099,26,W,*,Knit the knit stitches and purl the purl stitches,*,
