StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,1,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,3,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,5,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,7,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,9,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,11,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,13,R,p2*,CO,*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,15,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,17,R,p2*,"k6, p1, k6",*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,19,R,p2*,CO,*,p2
1106,Opulent,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1106,20,W,*,Knit the knit stitches and purl the purl stitches,*,
