StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,1,R,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,2,W,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,3,R,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,4,W,knit
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,5,R,purl
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,6,W,knit
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,7,R,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,8,W,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,9,R,"k3, p3"
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,10,W,purl
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,11,R,knit
110,Harris Tweed,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=110,12,W,purl
