StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,1,R,*,"p6, k2, 4RC",*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,3,R,*,"p6, k6",*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,5,R,p3*,"6RC, p6",*,"6RC, p3"
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,7,R,p3*,"k6, p6",*,"k6, p3"
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,9,R,p3*,"k2, 4LC, p6",*,"k2, 4LC, p3"
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,11,R,p3*,"k6, p6",*,"k6, p3"
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,13,R,*,"p6, 6LC",*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,15,R,*,"p6, k6",*,
1110,Wavy Braid,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1110,16,W,*,Knit the knit stitches and purl the purl stitches,*,
