StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,1,R,"k5, p7*","k6, p7",*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,3,R,"k4, p7*","RC, p6",*,k1
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,5,R,"k3, p7*","RC, p6",*,k2
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,7,R,"k2, p7*","RC, p6",*,k3
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,9,R,"k1, p7*","RC, p6",*,k4
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,11,R,p7*,"RC, p6",*,k5
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,13,R,p6*,"RC, p6",*,k6
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,15,R,p5*,"RC, p6",*,RC
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,17,R,p4*,"RC, p6",*,"RC, p1"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,19,R,p3*,"RC, p6",*,"RC, p2"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,20,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,21,R,p2*,"RC, p6",*,"RC, p3"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,22,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,23,R,p1*,"RC, p6",*,"RC, p4"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,24,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,25,R,*,"RC, p6",*,"RC, p5"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,26,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,27,R,*,"LC, p6",*,"LC, p5"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,28,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,29,R,p1*,"LC, p6",*,"LC, p4"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,30,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,31,R,p2*,"LC, p6",*,"LC, p3"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,32,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,33,R,p3*,"LC, p6",*,"LC, p2"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,34,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,35,R,p4*,"LC, p6",*,"LC, p1"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,36,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,37,R,p5*,"LC, p6",*,LC
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,38,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,39,R,*,"p6, LC",*,"p7, k5"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,40,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,41,R,k1*,"p6, LC",*,"p7, k4"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,42,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,43,R,k2*,"p6, LC",*,"p7, k3"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,44,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,45,R,k3*,"p6, LC",*,"p7, k2"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,46,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,47,R,k4*,"p6, LC",*,"p7, k1"
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,48,W,*,Knit the knit stitches and purl the purl stitches,*,
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,49,R,k5*,"p6, LC",*,p7
1116,Wavy Ribs,Multiple of 13 stitches,plus 12 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1116,50,W,*,Knit the knit stitches and purl the purl stitches,*,
