StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,1,R,CO*,"p8, CO",*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,3,R,p1*,"LC, p6, RC",*,p1
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,5,R,p2*,"LC, p4, RC, p2",*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,7,R,p3*,"LC, p2, RC, p4",*,p3
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,9,R,p4*,"LC, RC, p6",*,p4
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,11,R,p5*,"CO, p8",*,p5
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,13,R,p4*,"RC, LC, p6",*,p4
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,15,R,p3*,"RC, p2, LC, p4",*,p3
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,17,R,p2*,"RC, p4, LC, p2",*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,19,R,p1*,"RC, p6, LC",*,p1
1118,Interlocking Diamonds,Multiple of 10 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1118,20,W,*,Knit the knit stitches and purl the purl stitches,*,
