StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,1,R,*,purl,*,
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,2,W,*,knit,*,
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,3,R,p5*,"k3-b, p9",*,"k3-b,p5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,4,W,k5*,"p3, k9",*,"p3,k5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,5,R,p5*,"k3-b, p9",*,"k3-b,p5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,6,W,k5*,"p3, k9",*,"p3,k5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,7,R,p2*,"k9-b, p3",*,"k9-b,p2"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,8,W,k2*,"p9, k3",*,"p9,k2"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,9,R,p2*,"k9-b, p3",*,"k9-b,p2"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,10,W,k2*,"p9, k3",*,"p9,k2"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,11,R,p5*,"k3-b, p9",*,"k3-b,p5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,12,W,k5*,"p3, k9",*,"p3,k5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,13,R,p5*,"k3-b, p9",*,"k3-b,p5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,14,W,k5*,"p3, k9",*,"p3,k5"
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,15,R,*,purl,*,
111,Arabic Cross,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=111,16,W,*,knit,*,
