StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,1,R,*,"LC, p12, RC",*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,3,R,p1*,"LC, p10, RC, p2",*,p1
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,5,R,p2*,"LC, p8, RC, p4",*,p2
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,7,R,p3*,"LC, p6, RC, p6",*,p3
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,9,R,p4*,"LC, p4, RC, p8",*,p4
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,11,R,p5*,"LC, p2, RC, p10",*,p5
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,13,R,p6*,"LC, RC, p12",*,p6
1121,Tepees,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1121,14,W,*,Knit the knit stitches and purl the purl stitches,*,
