StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,1,R,"p2, k2, p2, k2, p2"
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,2,W,Knit the knit stitches and purl the purl stitches
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,3,R,"p2, k2, p2, k2, p2"
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,4,W,Knit the knit stitches and purl the purl stitches
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,5,R,"p2, CO, p2"
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,6,W,Knit the knit stitches and purl the purl stitches
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,7,R,"p2, k2, p2, k2, p2"
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,8,W,Knit the knit stitches and purl the purl stitches
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,9,R,"p2, k2, p2, k2, p2"
1127,Interchanging Cables,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1127,10,W,Knit the knit stitches and purl the purl stitches
