StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,1,R,"k2, (p1, k1) 3 times"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,2,W,"(k1, p1) 3 times, p2"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,3,R,"k2, LC"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,4,W,"(p1, k1) 3 times, p2"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,5,R,"k2, (k1, p1) 3 times"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,6,W,"(p1, k1) 3 times, p2"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,7,R,"k2, (k1, p1) 3 times"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,8,W,"(p1, k1) 3 times, p2"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,9,R,"k2, LCa"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,10,W,"(k1, p1) 3 times, p2"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,11,R,"k2, (p1, k1) 3 times"
1129,Textured Rib,Multiple of 8 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1129,12,W,"(k1, p1) 3 times, p2"
