StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,1,R,"p2, k2*","p2-tog, yo, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,2,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,3,R,"p2, k2*","p2-tog, yo, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,4,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,5,R,"p2, k2*","p2-tog, yo, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,6,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,7,R,"p2, k2*","p2-tog, yo, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,8,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,9,R,p2*,CO,*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,10,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,11,R,"p2, k2*","p2, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,12,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,13,R,"p2, k2*","p2, k2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,14,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,15,R,"p2, k2*","p2, k2",*,p2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,16,W,"k2, p2*","k2, p2",*,k2
1130,Swirling Cable,Multiple of 16 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1130,17,R,p2*,CO,*,p2
