StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,1,R,"k1, (k1, p1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,2,W,"p1, (k1, p1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,3,R,"k1, (p1, k1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,4,W,"p1, (p1, k1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,5,R,"k1, (k1, p1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,6,W,"p1, (k1, p1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,7,R,"k1, (p1, k1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,8,W,"p1, (p1, k1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,9,R,"k1, (k1, p1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,10,W,"p1, (k1, p1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,11,R,"k1, (p1, k1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,12,W,"p1, (p1, k1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,13,R,"k1, (k1, p1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,14,W,"p1, (k1, p1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,15,R,"k1, (p1, k1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,16,W,"p1, (p1, k1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,17,R,"k1, (k1, p1) 5 times, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,18,W,"p1, (k1, p1) 5 times, p1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,19,R,"k1, CO, k1"
1133,Moss Stitch Cable,Multiple of 12 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1133,20,W,"p1, (p1, k1) 5 times, p1"
