StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,1,R,p3*,"M5, p7",*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,2,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,3,R,p3*,"k2, RC, p7",*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,4,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,5,R,p3*,"LC, k2, p7",*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,6,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,7,R,p3*,"k5-tog, p3, M5, p3",*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,8,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,9,R,*,"p7, M2, k3, M2",*,p3
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,10,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,11,R,*,"p7, k7",*,p3
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,12,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,13,R,*,"p7, LC, k1, RC",*,p3
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,14,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,15,R,*,"p7, k7",*,p3
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,16,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,17,R,*,"p7, slip 1, k1, pass slipped stich over the knit stitch and drop it, k3, k2-tog",*,p3
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,18,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,19,R,p3*,"M5, p3, k5-tog, p3",*,
1151,Peanuts and Hazelnuts,Multiple of 8 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1151,20,W,*,Knit the knit stitches and purl the purl stitches and purl the yarn overs,*,
