StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,1,R,p1*,"(k1-b, p1) 3 times LT, k1-b, RT, p1",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,2,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,3,R,p1*,"k1-b, (p1, k1-b) twice, p2, CO, p2",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,4,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,5,R,p1*,"(k1-b, p1) 3 times, RT, k1-b, LT, p1",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,6,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,7,R,p1*,"k1-b, p1",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,8,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,9,R,p1*,"LT, k1-b, RT, p1, (k1-b, p1) 3 times",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,10,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,11,R,*,"p2, CO, p2, k1-b, (p1, k1-b)",*,p1
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,12,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,13,R,p1*,"RT, k1-b, LT, (p1, k1-b) 3 times, p1",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,14,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,15,R,p1*,"k1-b, p1",*,
1152,Twisted Bands,Multiple of 12 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1152,16,W,*,"work p1-b over k1-b from previous row, knit the knit stitches and purl the purl stitches",*,
