StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,1,R,k2*,"CO, k4",*,k2
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,2,W,*,purl,*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,3,R,*,"RC, yo, ssk, k2-tog, yo, LC",*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,4,W,*,purl,*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,5,R,k3*,"yo, ssk, k2-tog, yo, k6",*,k3
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,6,W,*,purl,*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,7,R,k3*,"yo, ssk, 2k-tog, yo, CO",*,k3
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,8,W,*,purl,*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,9,R,k3*,"yo, ssk, k2-tog, yo, k6",*,k3
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,10,W,*,purl,*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,11,R,*,"LC, yo, slip 1, k1, psso, k2-tog, yo, RC",*,
1158,Fountains,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1158,12,W,*,purl,*,
