StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,1,R,p4*,"CO, p6",*,p4
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,3,R,p3*,"RC, LC, p4",*,p3
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,5,R,p2*,"RC, p2, LC, p2",*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,7,R,p1*,"RC, p4, LC",*,p1
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,9,R,"p1, k1*","p6, CO",*,"k1, p1"
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,11,R,p1*,"LC, p4, RC",*,p1
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,13,R,p2*,"LC, p2, RC, p2",*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,15,R,p3*,"LC, RC, p4",*,p3
1165,Repeating Diamonds,Multiple of 8 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1165,16,W,*,Knit the knit stitches and purl the purl stitches,*,
