StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,1,R,p2*,"k4, p2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,2,W,k2*,"k2, p4",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,3,R,p2*,"slip 1 as if to purl, k2, DS, p2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,4,W,k2*,"k2, p3, sl 1 wyif",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,5,R,p2*,"CO, DS, p2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,6,W,k2*,"k2, p4",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,7,R,p2*,"DS, p2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,8,W,k2*,"p3, k2, p1",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,9,R,p2*,"DS, p2, sl 1 wyib, k2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,10,W,k2*,"p2, sl 1 wyif, k2, p1",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,11,R,p2*,"DS, p2, CO",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,12,W,k2*,"p3, k2, p1",*,k2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,13,R,p2*,"DS, k2, DS, p2",*,p2
1171,Roof Tiles,Multiple of 6 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1171,14,W,k2*,"k2, p4",*,k2
