StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,1,R,p3*,"k1, (k1, p1) in next stitch, p2",*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,3,R,*,"p2, RC-P",*,"p2, k1"
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,5,R,p1*,"RC-P, p2",*,k2
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,7,R,RC-P*,"p2, RC-P",*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,9,R,"k1, p3*","RC-P, p2",*,p1
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,11,R,p3*,"RC-P, p2",*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,13,R,*,"p2, RC-P",*,"p2, k1"
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,15,R,p1*,"RC-P, p2",*,k2
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,17,R,RC-P*,"p2, RC-D",*,
1195,Reeds to the Right,Multiple of 4 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1195,18,W,*,Knit the knit stitches and purl the purl stitches,*,
