StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,1,R,p2*,"RCO, p1, LCO",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,3,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,5,R,p2*,"LCO, p1, RCO",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,7,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,9,R,p2*,"RCO, p1, LCO",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,11,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,13,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,15,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,17,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,19,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,20,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,21,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,22,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,23,R,p2*,"k4, p1, k4",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,24,W,*,Knit the knit stitches and purl the purl stitches,*,
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,25,R,p2*,"LCO, p1, RCO",*,p2
1205,Long Lean Cables,Multiple of 9 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1205,26,W,*,Knit the knit stitches and purl the purl stitches,*,
