StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,1,R,p1*,"(k2, p2) twice, k1, (p2, k2) twice, p1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,2,W,k1*,"(p2, k2) twice, p1, (k2, p2) twice, k1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,3,R,p1*,"(k2, p2) twice, k1, (p2, k2) twice, p1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,4,W,k1*,"(p2, k2) twice, p1, (k2, p2) twice, k1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,5,R,p1*,"p1, k2, p2, k2, p3, (k2, p2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,6,W,k1*,"k1, p2, k2, p2, k3, (p2, k2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,7,R,p1*,"p1, k2, p2, k2, p3, (k2, p2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,8,W,k1*,"k1, p2, k2, p2, k3, (p2, k2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,9,R,k1*,"(p2, k2) twice, p1, (k2, p2) twice, k1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,10,W,p1*,"(k2, p2) twice, k1, (p2, k2) twice, p1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,11,R,k1*,"(p2, k2) twice, p1, (k2, p2) twice, k1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,12,W,p1*,"(k2, p2) twice, k1, (p2, k2) twice, p1",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,13,R,k1*,"k1, p2, k2, p2, k3, (p2, k2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,14,W,p1*,"p1, k2, p2, k2, p3, (k2, p2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,15,R,k1*,"k1, p2, k2, p2, k3, (p2, k2) twice",*
120,Pinnacle Chevron,Multiple of 18 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=120,16,W,p1*,"p1, k2, p2, k2, p3, (k2, p2) twice",*
