StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,1,R,"p2, k2, p24, k2, p2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,2,W,"k2, p2, k9, p6, k9, p2, k2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,3,R,"p2, k2, p9, k6, p9, k2, p2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,4,W,"k2, p2, k9, p6, k9, p2, k2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,5,R,"p2, k2, p9, k6, p9, k2, p2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,6,W,"k2, p2, k9, p6, k9, p2, k2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,7,R,"p2, LC-A, p7, RC-A, k2, LC-A, p7, RC-A, p2"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,8,W,"k3, RC-B, k5, LC-B, k1, p2, k1, RC-B, k5, LC-B, k3"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,9,R,"p4, LC, p1, RC, p2, k2, p2, LC, p1, RC, p4"
1210,Trevi Fountain,Multiple of 32 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1210,10,W,"k2, p2, k24, p2, k2"
