StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,1,R,"p1, LC, k2"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,2,W,"p4, k1, p1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,3,R,"p1, k1, LC, k1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,4,W,"p4, k1, p1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,5,R,"p1, k1, p1, LC"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,6,W,"p2, (k1, p1) twice"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,7,R,"p1, k1, p1, RC"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,8,W,"p4, k1, p1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,9,R,"p1, k1, RC, k1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,10,W,"p4, k1, p1"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,11,R,"p1, RC, k2"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,12,W,p6
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,13,R,"RC, k3"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,14,W,p6
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,15,R,"LC, k3"
1218,Commanding Zigzags,Multiple of 6 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1218,16,W,p6
