StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,1,R,p5*,"k2, bobble, k2, p8",*,p5
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,3,R,p5*,"bobble, k3, bobble, p8",*,p5
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,5,R,p5*,"k2, bobble, k2, k8",*,p5
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,7,R,p4*,"RC, p1, LC, p6",*,p4
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,9,R,p3*,"RC, p3, LC, p4",*,p3
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,11,R,p2*,"RC, p5, LC, p2",*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,13,R,p2*,"k2, p3, bobble, p3, k2, p2",*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,15,R,p2*,"LC, p5, RC, p2",*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,17,R,p3*,"LC, p3, RC, p4",*,p3
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,19,R,p4*,"LC, p1, RC, p6",*,p4
1229,Blossoms,Multiple of 13 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1229,20,W,*,Knit the knit stitches and purl the purl stitches,*,
