StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,1,R,"k8, p2, k8"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,2,W,"p7, k4, p7"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,3,R,"p1, k5, p2, k2, p2, k5, p1"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,4,W,"k2, p3, k2, p4, k2, p3, k2"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,5,R,"p1, k3, p2, k6, p2, k3, p1"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,6,W,"p3, (k2, p3) 3 times"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,7,R,"k2, p2, k3, p4, k3, p2, k2"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,8,W,"p1, k2, (p5, k2) twice, p1"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,9,R,"p2, k14, p2"
122,Dotted Chevron,Multiple of 18 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=122,10,W,"k1, p16, k1"
