StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,1,R,p3*,"k6, p2, k6, p3",*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,2,W,*,Knit the knit stitches and purl the purl stitches,*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,3,R,p3*,"RCO, p2, LCO, p3",*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,4,W,*,Knit the knit stitches and purl the purl stitches,*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,5,R,p3*,"k4, LC, RC, k4, p3",*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,6,W,*,Knit the knit stitches and purl the purl stitches,*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,7,R,p3*,"k4, p1, CO, p1, k4, p3",*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,8,W,*,Knit the knit stitches and purl the purl stitches,*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,9,R,p3*,"k4, RC, LC, K4, p3",*
1232,Four-stranded Cable,Multiple of 17 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1232,10,W,*,Knit the knit stitches and purl the purl stitches,*
