StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,1,R,k4*,"p1, LT, k6, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,2,W,*,"p4, k1, p6, sl 1 wyif, p1, k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,3,R,k4*,"p1, k1, LT, k5, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,4,W,*,"p4, k1, p5, sl 1 wyif, p2, k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,5,R,k4*,"p1, k2, LT, k4, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,6,W,*,"p4, k1, p4, sl 1 wyif, p3, k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,7,R,k4*,"p1, k3, LT, k3, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,8,W,*,"p4, k1, p3, sl 1 wyif, p4. k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,9,R,k4*,"p1, k4, LT, k2, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,10,W,*,"p4, k1, p2, sl 1 wyif, p5 , k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,11,R,k4*,"p1, k5, LT, k1, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,12,W,*,"p4, k1, p1, sl1 wyif, p6, k1",*,p4
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,13,R,k4*,"p1, k6, LT, p1, k4",*,
1240,Outlines,Multiple of 14 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1240,14,W,*,"p4, k1, sl 1 wyif, p7, k1",*,p4
