StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,1,R,p3*,"p1, RT, k1, RC, k2, p3, LC, k1, p3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,2,W,k3 *,"p2, k4, p2, k1, p3, RC-P, k3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,3,R,p3 *,"k3, RC, p1, k1, LT, p3, LC, p3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,4,W,k3*,"p1, k3, LC-P, p2, k2, p4, k3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,5,R,p3 *,"k2, RC, p2, k1, LT twice, p6",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,6,W,k3*,"k2, LC-P, p4, k3, p3, k3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,7,R,p3*,"k1, RC, p3, k2, LC, k1, LT, p4",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,8,W,k3*,"LC-P, p3, k1, p2, k4, p2, k3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,9,R,p3*,"RC, p3, RT, k1, p1, LC, k3, p3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,10,W,k3*,"p4, k2, p2, LC-P, k3, p1, k3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,11,R,p3 *,"p3, RT twice, k1, p2, LC, k2, p3",*
1242,Leaves on Branches,Multiple of 20 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1242,12,W,k3*,"p3, k3, p4, RC-P, k5",*
