StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,1,R,k3*,"p2, k4, p2, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,3,R,k3*,"p2, LCO, p2, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,5,R,k3*,"p2, k4, p2, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,7,R,k3*,"p2, LCO, p2, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,9,R,k3*,"RC, LC, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,11,R,k1*,"RC, p4, LC, k2",*,k1
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,13,R,k1*,"RCO, p4, LCO, k2",*,k1
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,15,R,k3*,"LC, RC, k6",*,k3
1247,Joined Cables,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1247,16,W,*,Knit the knit stitches and purl the purl stitches,*,
