StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,1,R,k1*,"RC, k5, RC, LC, k2, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,2,W,*,purl,*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,3,R,k1*,"RC, k4, RC, k2, LC, k1, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,4,W,*,purl,*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,5,R,k1*,"RC, k3, RC, k4, LC, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,6,W,*,purl,*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,7,R,k1*,"RC, k2, RC, LC, k5, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,8,W,*,purl,*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,9,R,k1*,"RC, k1, RC, k2, LC, k4, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,10,W,*,purl,*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,11,R,k1*,"RC twice, k4, LC, k3, RC, k1",*
1248,Diverging Diagonals,Multiple of 16 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1248,12,W,*,purl,*
