StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,1,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,2,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,3,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,5,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,7,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,9,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,11,R,p4*,"CO, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,13,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,15,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,17,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,18,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,19,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,20,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,21,R,p4*,"k6, p4",*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,22,W,*,Knit the knit stitches and purl the purl stitches,*,
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,23,R,"p4, k6*","p4, CO",*,"p4, k6, p4"
1249,Knotted Cable,Multiple of 20 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1249,24,W,*,Knit the knit stitches and purl the purl stitches,*,
