StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,1,R,*,purl,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,2,W,*,knit,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,3,R,p5*,"k4, p11",*,p6
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,5,R,p4*,"RC, LC, p9",*,p5
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,7,R,p3*,"RC, p2, LC, p7",*,p4
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,9,R,p2*,"RC, p4, LC, p5",*,p3
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,11,R,p2*,"LC, p4, RC, p5",*,p3
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,13,R,p3*,"LC, p2, RC, p5",*,p3
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,14,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,15,R,p4*,"LC, RC, p9",*,p5
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,16,W,*,Knit the knit stitches and purl the purl stitches,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,17,R,*,purl,*,
1252,Interrupted Diamonds,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1252,18,W,*,knit,*,
