StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,1,R,"(k1, p1) 4 times*","k5, p1, (k1, p1) twice",*,"p1, (k1, p1) 3 times"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,2,W,"(p1, k1) 4 times*","p4, (p1, k1) 3 times",*,"p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,3,R,"(k1, p1) 4 times *","k5, p1, (k1, p1) twice",*,"p1, (k1, p1) 3 times"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,4,W,"(p1, k1) 4 times *","p4, (p1, k1) 3 times",*,"p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,5,R,"(k1, p1) 4 times *","k5, p1, (k1, p1) twice",*,"p1, (k1, p1) 3 times"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,6,W,"(p1, k1) 4 times *","p4, (p1, k1) 3 times",*,"p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,7,R,"(k1, p1) 4 times *","k5, p1, (k1, p1) twice",*,"p1, (k1, p1) 3 times"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,8,W,"(p1, k1) 4 times *","p4, (p1, k1) 3 times",*,"p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,9,R,*,"k1, p1",*,
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,10,W,*,"p1, k1",*,
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,11,R,"k1, p1*","k5, (p1, k1) twice, p1",*,"p1, k1, p1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,12,W,"p1, k1 *","p5, k1, (p1, k1) twice",*,"k1, p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,13,R,"k1, p1 *","k5, (p1, k1) twice, p1",*,"p1, k1, p1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,14,W,"p1, k1 *","p5, k1, (p1, k1) twice",*,"k1, p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,15,R,"k1, p1 *","k5, (p1, k1) twice, p1",*,"p1, k1, p1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,16,W,"p1, k1 *","p5, k1, (p1, k1) twice",*,"k1, p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,17,R,"k1, p1 *","k5, (p1, k1) twice, p1",*,"p1, k1, p1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,18,W,"p1, k1 *","p5, k1, (p1, k1) twice",*,"k1, p1, k1"
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,19,R,*,"k1, p1",*,
1258,Windows of Moss,Multiple of 10 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1258,20,W,*,"p1, k1",*,
