StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,1,R,p5*,"yo, k1, p5",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,2,W,*,"knit the knit stitches; purl the purl stitches and (k1, yo) in the yarn over loops",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,3,R,p5*,"yo, k1, p1, k1, p5",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,4,W,*,"knit the knit stitches; purl the purl stitches and (k1, yo) in the yarn over loops",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,5,R,p5*,"yo, k1, (p1, k1) twice, p5",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,6,W,*,"knit the knit stitches; purl the purl stitches and (k1, yo) in the yarn over loops",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,7,R,p5*,"k1, (p1, k1) 3 times, p5",*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,8,W,*,knit the knit stitches and purl the purl stitches,*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,9,R,p5*,slip 6 stitches to right hand needle; k1; then pass each slip stitch over the knit stitch and drop it; p5,*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,10,W,*,knit,*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,11,R,*,purl,*
1277,Little Cascades,Multiple of 6 stitches,plus 5 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1277,12,W,*,knit,*
