StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,1,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,2,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,3,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,4,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,5,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,6,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,7,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,8,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,9,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,10,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,11,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,12,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,13,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,14,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,15,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,16,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,17,R,*,"slip 4 wyif, wrap yarn across front of these stitches and return it to back; return the 4 stitches to the left needle and knit them, p5, k4, p5",*,"slip 4 wyif, wrap yarn across front of these stitches and return it to back; return the 4 stitches to the left needle and knit them"
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,18,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,19,R,*,"slip 4 wyif, wrap yarn across front of these stitches and return it to back; return the 4 stitches to the left needle and knit them, p5, k4, p5",*,"slip 4 wyif, wrap yarn across front of these stitches and return it to back; return the 4 stitches to the left needle and knit them"
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,20,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,21,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,22,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,23,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,24,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,25,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,26,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,27,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,28,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,29,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,30,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,31,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,32,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,33,R,k4*,"p5, k4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,34,W,p4*,"k5, p4",*,
1280,Wrapped Ribs,Multiple of 18 stitches,plus 4 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1280,35,R,k4*,"p5; slip 4 wyif, wrap yarn across front of these stitches and return it to back; return the 4 stitches to the left needle and knit them; p5, k4",*,
