StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,1,R,"p1, k5-b, p1, k8","p1,k5-b,p1"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,2,W,"k1, p5-b, k1, p8","k1,p5-b,k1"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,3,R,"p1, k5-b, p9","p1,k5-b,p1"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,4,W,"k1, p5-b, k9","k1,p5-b,k1"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,5,R,"p2, k3-b, p3, k6, p1","p2,k3-b,p2"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,6,W,"k2, p3-b, k3, p6, k1","k2,p3-b,k2"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,7,R,"p2, k3-b, p10","p2,k3-b,p2"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,8,W,"k2, p3-b, k10","k2,p3-b,k2"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,9,R,"p3, k1-b, p5, k4, p2","p3,k1-b,p3"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,10,W,"k3, p1-b, k5, p4, k2","k3,p1-b,k3"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,11,R,"p3, k1-b, p11","p3,k1-b,p3"
128,Dutch Pyramids,Multiple of 15 stitches,plus 7 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=128,12,W,"k3, p1-b, k11","k3,p1-b,k3"
