StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,1,R,*,knit,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,2,W,k4*,"p6, k6",*,k4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,3,R,p4*,"k6, p6",*,p4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,4,W,*,Knit the knit stitches and purl the purl stitches,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,5,R,p4*,"k6, p6",*,p4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,6,W,*,Knit the knit stitches and purl the purl stitches,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,7,R,k4*,"p2, k2, p2, k6",*,k4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,8,W,*,Knit the knit stitches and purl the purl stitches,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,9,R,k6*,"p2, k10",*,k6
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,10,W,*,Knit the knit stitches and purl the purl stitches,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,11,R,k4*,"p2, k2, p2, k6",*,k4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,12,W,*,Knit the knit stitches and purl the purl stitches,*,
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,13,R,p4*,"k6, p6",*,p4
1297,Seeds and Squares,Multiple of 12 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1297,14,W,*,Knit the knit stitches and purl the purl stitches,*,
