StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,1,R,p3*,"k2, bobble, p2",*,p1
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,2,W,*,"knit the knit stitches, purl the purl stitches and purl the bobble stitches",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,3,R,p2*,"k2, bobble, p2",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,4,W,*,"knit the knit stitches, purl the purl stitches and purl the bobble stitches",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,5,R,p1*,"k2, bobble, p2",*,p3
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,6,W,*,"knit the knit stitches, purl the purl stitches and purl the bobble stitches",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,7,R,"p1, k1*","bobble, p2, k2",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,8,W,*,"knit the knit stitches, purl the purl stitches and purl the bobble stitches",*,
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,9,R,p1*,"bobble, p2, k2",*,p1
1309,Bobbles on the Bias,Multiple of 5 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1309,10,W,*,"knit the knit stitches, purl the purl stitches and purl the bobble stitches",*,
