StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,1,R,"RC, yo, k2-tog, yo, k1, yo, k4, sl 2-k1-p2sso, k4, yo, sl 2-k1-p2sso, yo, k4, sl 2-k1-p2sso, k4, yo, k1, yo, ssk, yo, RC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,2,W,purl
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,3,R,"LC, yo, k2-tog, yo, k3, yo, k3, sl 2-k1-p2sso, k3, yo, sl 2-k1-p2sso, yo, k3, sl 2-k1-p2sso, k3, yo, k3, yo, ssk, yo, LC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,4,W,purl
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,5,R,"RC, yo, k2-tog, yo, k5, yo, k2, sl 2-k1-p2sso, k2, yo, sl 2-k1-p2sso, yo, k2, sl 2-k1-p2sso, k2, yo, k5, yo, ssk, yo, RC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,6,W,purl
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,7,R,"LC, yo, k2-tog, yo, k7, yo, k1, sl 2-k1-p2sso, k1, yo, sl 2-k1-p2sso, yo, k1, sl 2-k1-p2sso, k1, yo, k7, yo, ssk, yo, LC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,8,W,purl
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,9,R,"RC, yo, k2-tog, yo, k9, yo, (sl 2-k1-p2sso, yo) 3 times, k9, yo, ssk, yo, RC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,10,W,purl
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,11,R,"LC, yo, k2-tog, yo, k10, k2-tog, yo, sl 2-k1-p2sso, yo, ssk, k10, yo, ssk, yo, LC"
1325,Lacy Leaves,Multiple of 35 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1325,12,W,purl
