StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,1,R,*,purl,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,2,W,*,knit,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,3,R,p5*,"RC, p7",*,k5
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,4,W,*,knit the knit stitches; purl the purl stitches,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,5,R,p3*,"RC, LC, p3",*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,6,W,*,knit the knit stitches; purl the purl stitches,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,7,R,p3*,"k8, p3",*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,8,W,*,knit the knit stitches; purl the purl stitches,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,9,R,p3*,"bobble, k6, bobble, p3",*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,10,W,*,knit the knit stitches; purl the purl stitches and knit any bobble stitch,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,11,R,p5*,"k4, p7",*,p5
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,12,W,*,knit the knit stitches; purl the purl stitches,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,13,R,p5*,"bobble, k2, bobble, p7",*,p5
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,14,W,*,knit the knit stitches; purl the purl stitches and knit any bobble stitch,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,15,R,*,purl,*,
1331,Flowering Bush,Multiple of 11 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1331,16,W,*,knit,*,
