StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,1,R,k5*,"k3-b, k11",*,k6
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,2,W,p5*,"k1, p3-b, k1, p9",*,p4
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,3,R,k3*,"p2, CO, p2, k7",*,k4
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,4,W,p3*,"k3, p3-b, k3, p5",*,p2
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,5,R,k1*,"p4, CO, p4, k3",*,k2
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,6,W,*,"p1, k5, p3-tog, k5",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,7,R,*,"p5, k1, p5, (k1-b, k1, k1-b) in next stitch",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,8,W,*,"p3-b, k4, p3, k4",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,9,R,*,"p3, k5, p3, CO",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,10,W,*,"p3-b, k2, p7, k2",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,11,R,*,"p1, k9, p1, CO",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,12,W,*,"p3-b, p11",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,13,R,*,"p1, k9, p1, CO",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,14,W,*,"p3-b, k2, p7, k2",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,15,R,*,"p3, k5, p3, CO",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,16,W,*,"p3-b, k4, p3, k4",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,17,R,*,"p5, k1, p5, k3-tog",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,18,W,*,"p1, k5, (p1-b, p1, p1-b) in next stitch, k5",*,
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,19,R,k1*,"p4, CO, p4, k3",*,k2
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,20,W,p3*,"k3, p3-b, k3, p5",*,p2
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,21,R,k3*,"p2, CO, p2, k7",*,k4
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,22,W,p5*,"k1, p3-b, k1, p9",*,p4
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,23,R,k5*,"CO, k11",*,k6
1334,Cornice,Multiple of 14 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1334,24,W,p5*,"k1, p3-b, k1, p9",*,p4
