StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,1,R,"k1, p3, k9, p3, k1"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,2,W,"p2, k3, p7, k3, p2"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,3,R,"k3, p3, k5, p3, k3"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,4,W,"p4, k3, p3, k3, p4"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,5,R,"k5, p3, k1, p3, k5"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,6,W,"p6, k5, p6"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,7,R,"k7, p3, k7"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,8,W,"p6, k5, p6"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,9,R,"k5, p3, k1, p3, k5"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,10,W,"p4, k3, p3, k3, p4"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,11,R,"k3, p3, k5, p3, k3"
133,Inverness Diamonds,Multiple of 17 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=133,12,W,"p2, k3, p7, k3, p2"
