StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat,End Row
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,1,R,"RT, p2, yo, k5, yo, ssk, k1-b, p2",RT
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,2,W,knit the knit stitches; purl the purl stitches and purl the yarn-over loops,
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,3,R,"RT, p2, yo, k1, ssk, p1, k2-tog, k1, yo, p1, k1-b, p2",RT
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,4,W,knit the knit stitches; purl the purl stitches and purl the yarn-over loops,
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,5,R,"RT, p2, yo, k1, ssk, p1, k2-tog, k1, p1, k1-b, p2",RT
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,6,W,knit the knit stitches; purl the purl stitches and purl the yarn-over loops,
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,7,R,"RT, p2, yo, k1, yo, ssk, p1, k2-tog, p1, k1-b, p2",RT
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,8,W,knit the knit stitches; purl the purl stitches and purl the yarn-over loops,
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,9,R,"RT, p2, yo, k3, yo, slip 2, k1, p2sso, p1, k1-b, p2",RT
1340,Falling Leaves,Multiple of 14 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1340,10,W,knit the knit stitches; purl the purl stitches and purl the yarn-over loops,
