StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,1,R,k2*,"p2-tog, p3, yo, p1, yo, p3, p2-tog, k4",*,k2
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,2,W,*,knit the knit stitches; purl the purl stitches and knit  the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,3,R,k2*,"p2-tog, p2, yo, p3, yo, p2, p2-tog, k4",*,k2
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,4,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,5,R,k2*,"p2-tog, p1, yo, p5, yo, p1, p2-tog, k4",*,k2
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,6,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,7,R,k2*,"p2-tog, yo, p7, yo, p2-tog, k4",*,k2
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,8,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,9,R,p1*,"yo, p3, p2-tog, k3, p2-tog, p3, yo, p2",*,p1
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,10,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,11,R,p2*,"yo, p2, p2-tog, k3, p2-tog, p2, yo, p4",*,p2
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,12,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,13,R,p3*,"yo, p1, p2-tog, k3, p2-tog, p1, yo, p6",*,p3
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,14,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,15,R,p4*,"yo, p2-tog, k3, p2-tog, yo, p8",*,p4
1348,Eyelet Diamonds 1,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1348,16,W,*,knit the knit stitches; purl the purl stitches and knit the yarn-over loops,*,
