StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Repeat
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,1,R,"k1, p13, k1"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,2,W,"p2, k11, p2"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,3,R,"k3, p9, k3"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,4,W,"p4, k7, p4"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,5,R,"k5, p5, k5"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,6,W,"k1, p5, k3, p5, k1"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,7,R,"p2, k5, p1, k5, p2"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,8,W,"k3, p9, k3"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,9,R,"p2, k5, p1, k5, p2"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,10,W,"k1, p5, k3, p5, k1"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,11,R,"k5, p5, k5"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,12,W,"p4, k7, p4"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,13,R,"k3, p9, k3"
134,Giant Diamond,Multiple of 15 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=134,14,W,"p2, k11, p2"
