StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,1,R,ssk*,"k2, M1, k1, M1, k5, sl 2-k1-p2sso",*,"k2, M1, k1, M1, k5, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,2,W,*,purl,*,
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,3,R,ssk*,"k1, M1, k3, M1, k4, sl 2-k1-p2sso",*,"k1, M1, k3, M1, k4, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,4,W,*,purl,*,
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,5,R,ssk*,"M1, k5, M1, k3, sl 2-k1-p2sso",*,"M1, k5, M1, k3, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,6,W,*,purl,*,
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,7,R,ssk*,"k5, M1, k1, M1, k2, sl 2-k1-p2sso",*,"k5, M1, k1, M1, k2, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,8,W,*,purl,*,
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,9,R,ssk*,"k4, M1, k3, M1, k1, sl 2-k1-p2sso",*,"k4, M1, k3, M1, k1, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,10,W,*,purl,*,
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,11,R,ssk*,"k3, M1, k5, M1, sl 2-k1-p2sso",*,"k3, M1, k5, M1, k2-tog"
1361,Undulating Horseshoes,Multiple of 11 stitches,plus 1 additional stitch,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1361,12,W,*,purl,*,
