StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,1,R,k2*,"yo, k1, yo, k2-tog-b, k2-tog, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,2,W,*,purl,*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,3,R,k2*,"yo, k1, yo, k2-tog-b, k2-tog, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,4,W,*,purl,*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,5,R,k2*,"yo, k1, yo, k2-tog-b, k2-tog, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,6,W,*,purl,*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,7,R,k2 *,"k2-tog-b, k2-tog, yo, k1, yo, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,8,W,*,purl,*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,9,R,k2 *,"k2-tog-b, k2-tog, yo, k1, yo, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,10,W,*,purl,*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,11,R,k2*,"k2-tog-b, k2-tog, yo, k1, yo, k2",*
1370,Winding Trail,Multiple of 7 stitches,plus 2 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1370,12,W,*,purl,*
