StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,1,R,k3*,"knot, k2",*,
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,2,W,*,purl,*,
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,3,R,k2*,"knot, k2",*,k3
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,4,W,*,purl,*,
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,5,R,k1*,"knot, k2",*,k4
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,6,W,*,purl,*,
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,7,R,k5*,"knot, k2",*,k5
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,8,W,*,purl,*,
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,9,R,k4*,"knot, k2",*,k1
1371,Textured 2,Multiple of 5 stitches,plus 3 additional stitches,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1371,10,W,*,purl,*,
