StitchID,StitchName,MultipleOf,StitchesPlus,SourceURL,Row #,Side,Begin Row,Repeat,Repeat From *,End Row
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,1,R,k1*,"k2-tog, yo,",*,k1
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,2,W,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,3,R,k1*,"yo, k2-tog",*,k1
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,4,W,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,5,R,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,6,W,*,knit,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,7,R,k1*,"yo, ssk",*,k1
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,8,W,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,9,R,k1*,"ssk, yo",*,k1
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,10,W,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,11,R,*,purl,*,
1384,Rows of Eyelets,Multiple of 2 stitches,,https://www.knittingfool.com/StitchIndex/StitchDetail.aspx?StitchID=1384,12,W,*,knit,*,
